id,名前,姓,名,ナマエ,セイ,メイ
古代前期__自然哲学__古代ギリシア__0001,デレウクス ペリマコス,デレウクス,ペリマコス,デレウクス ペリマコス,デレウクス,ペリマコス
古代前期__数学・幾何学__戦国・秦漢中国圏__0001,竺芳華,竺,芳華,チク ホウカ,チク,ホウカ
古代前期__暦法・観測学__アケメネス朝・ペルシア圏__0001,ヴァリシャ スパンダル,ヴァリシャ,スパンダル,ヴァリシャ スパンダル,ヴァリシャ,スパンダル
古代前期__自然哲学__ローマ共和政・帝政圏__0001,ラヴィア クィリリア,クィリリア,ラヴィア,ラヴィア クィリリア,クィリリア,ラヴィア
古代前期__数学・幾何学__古代インド圏__0001,デーヴァナンダ マイトラーヤナ,デーヴァナンダ,マイトラーヤナ,デーヴァナンダ マイトラーヤナ,デーヴァナンダ,マイトラーヤナ
古代前期__暦法・観測学__古代エジプト__0001,ネフェルティア メルエト,ネフェルティア,メルエト,ネフェルティア メルエト,ネフェルティア,メルエト
古代前期__光学__古代ギリシア__0001,ケルモシス スタルペイオス,ケルモシス,スタルペイオス,ケルモシス スタルペイオス,ケルモシス,スタルペイオス
古代前期__光学__戦国・秦漢中国圏__0001,公孫暉,公孫,暉,コウソン キ,コウソン,キ
古代後期__天文学・宇宙論__アレクサンドリア・エジプト圏__0001,サルセネ テーモス,サルセネ,テーモス,サルセネ テーモス,サルセネ,テーモス
古代後期__数学・幾何学__漢〜六朝中国圏__0001,沈大量,沈,大量,シン タイリャン,シン,タイリャン
